"","title","link","pubDate","Site","Lead","Symbol","Company"
"1","GlaxoSmithKline PLC ADR GSK (US: NYSE)","http://quotes.wsj.com/GSK","2011-02-11 06:54:19","Wall Street Journal","News GlaxoSmithKline PLC ADRGSK. Significant News Only. 04/18/17; Dow Jones Newswires. Glaxo JV Submits New Drug Application for Shingles Vaccine in Japan.","GSK"," GlaxoSmithKline"
"2","Glaxosmithkline plc and Theravance announces FDA approval of BREO ELLIPTA for treatment of adults with asthma in the US","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3204592","2015-04-30 15:17:00","Reuters Key Development","Glaxosmithkline plc and Theravance announces FDA approval of BREO ELLIPTA for treatment of adults with asthma in the US","GSK"," GlaxoSmithKline"
"3","Glaxosmithkline PLC declares first interim dividend","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3207140","2015-05-06 07:00:00","Reuters Key Development","Glaxosmithkline PLC declares first interim dividend","GSK"," GlaxoSmithKline"
"4","Glaxosmithkline plc gives FY 2015 EPS below analysts&#39; estimates - Conferance Call","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3208998","2015-05-06 09:30:00","Reuters Key Development","Glaxosmithkline plc gives FY 2015 EPS below analysts' estimates - Conferance Call","GSK"," GlaxoSmithKline"
"5","Perrigo to buy portfolio of OTC brands from Glaxosmithkline","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3223175","2015-06-02 06:27:00","Reuters Key Development","Perrigo to buy portfolio of OTC brands from Glaxosmithkline","GSK"," GlaxoSmithKline"
"6","Avalon Rare Metals Inc and Glaxosmithkline plc Launch Three New Companies with Series A Financing and R&amp;D Support as Part of Ongoing Collaboration","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3229400","2015-06-15 08:00:00","Reuters Key Development","Avalon Rare Metals Inc and Glaxosmithkline plc Launch Three New Companies with Series A Financing and R&D Support as Part of Ongoing Collaboration","GSK"," GlaxoSmithKline"
"7","Pfizer Inc to acquire Nimenrix And Mencevax from GlaxoSmithKline Plc","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3232665","2015-06-22 07:08:00","Reuters Key Development","Pfizer Inc to acquire Nimenrix And Mencevax from GlaxoSmithKline Plc","GSK"," GlaxoSmithKline"
"8","GlaxoSmithKline Plc declares dividend","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3254046","2015-07-29 07:00:00","Reuters Key Development","GlaxoSmithKline Plc declares dividend","GSK"," GlaxoSmithKline"
"9","Novartis buys remaining rights to GlaxoSmithKline Plc treatment","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3264458","2015-08-21 01:25:00","Reuters Key Development","Novartis buys remaining rights to GlaxoSmithKline Plc treatment","GSK"," GlaxoSmithKline"
"10","Glaxosmithkline plc and Theravance Inc announces results from the SUMMIT COPD CV survival study","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3270960","2015-09-08 14:40:00","Reuters Key Development","Glaxosmithkline plc and Theravance Inc announces results from the SUMMIT COPD CV survival study","GSK"," GlaxoSmithKline"
"11","GlaxoSmithKline plc (ADR), AbbVie Inc: Attractive High-Yield Dividend Pharma ...","http://etfdailynews.com/2015/09/14/glaxosmithkline-plc-adr-abbvie-inc-attractive-high-yield-dividend-pharma-stocks-to-buy/","2015-09-14 12:00:58","ETF Daily News","yield Bob Ciura: The stock market sell-off is painful for investors who own stocks, but the good news is that declining stock prices present new buying opportunities.","GSK"," GlaxoSmithKline"
"12","Pfizer Inc completes acquisition of nimenrix and mencevax from GlaxoSmithKline Plc","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3280167","2015-10-01 08:00:00","Reuters Key Development","Pfizer Inc completes acquisition of nimenrix and mencevax from GlaxoSmithKline Plc","GSK"," GlaxoSmithKline"
"13","Glaxosmithkline plc Nucala receives approval from US FDA","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3296175","2015-11-05 02:00:00","Reuters Key Development","Glaxosmithkline plc Nucala receives approval from US FDA","GSK"," GlaxoSmithKline"
"14","Valneva signs new research and development collaboration with GlaxoSmithKline","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3329606","2016-02-08 01:00:00","Reuters Key Development","Valneva signs new research and development collaboration with GlaxoSmithKline","GSK"," GlaxoSmithKline"
"15","GSK says its meningitis vaccine achieves study goals","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3374332","2016-05-13 06:15:55","Reuters Key Development","GSK says its meningitis vaccine achieves study goals","GSK"," GlaxoSmithKline"
"16","Glaxosmithkline and Innoviva report positive headline results in Salford Lung study","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3380494","2016-05-24 05:54:42","Reuters Key Development","Glaxosmithkline and Innoviva report positive headline results in Salford Lung study","GSK"," GlaxoSmithKline"
"17","GSK says gene therapy for immune disorder meets main goal","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3381235","2016-05-25 05:09:39","Reuters Key Development","GSK says gene therapy for immune disorder meets main goal","GSK"," GlaxoSmithKline"
"18","GlaxoSmithKline appoints Vivienne Cox to board","http://www.reuters.com/finance/stocks/GSK/key-developments/article/3383144","2016-05-27 09:56:02","Reuters Key Development","GlaxoSmithKline appoints Vivienne Cox to board","GSK"," GlaxoSmithKline"
