Date,Open,High,Low,Close,Volume
2/27/2017,29.12,29.39,29.11,29.37,3631413
2/24/2017,29.23,29.36,29.2,29.35,3539599
2/23/2017,29.24,29.63,29.22,29.51,5213038
2/22/2017,28.62,28.98,28.61,28.92,5119003
2/21/2017,28.98,29.13,28.87,29.01,4472091
2/17/2017,29.16,29.27,28.94,29.16,4496430
2/16/2017,28.74,28.89,28.66,28.76,4400523
2/15/2017,28.55,28.86,28.52,28.84,3758360
2/14/2017,29.37,29.66,29.32,29.59,5479427
2/13/2017,29.6,29.74,29.53,29.64,5482650
2/10/2017,29.24,29.62,29.2,29.53,8700911
2/9/2017,29.13,29.35,29.06,29.3,7263959
2/8/2017,28.17,28.66,28.17,28.62,5108983
2/7/2017,28.19,28.3,28.09,28.26,6341361
2/6/2017,27.71,28.1,27.71,28.09,6300448
2/3/2017,27.55,27.94,27.55,27.92,10788366
2/2/2017,27.01,27.58,26.98,27.56,11199155
2/1/2017,27.32,27.76,27.23,27.76,10012135
1/31/2017,26.52,27.25,26.51,27.23,10641919
1/30/2017,27.04,27.1,26.94,27.09,6143032
1/27/2017,26.94,27.08,26.81,27.05,7378677
1/26/2017,27.57,27.58,26.64,26.72,10392602
1/25/2017,27.23,27.39,27.1,27.29,4791692
1/24/2017,26.93,27.12,26.65,26.99,9280786
1/23/2017,27.1,27.15,26.87,27.1,5507059
1/20/2017,27.39,27.42,26.86,27.07,10125635
1/19/2017,28.23,28.31,27.81,27.91,3692976
1/18/2017,28.65,28.66,28.43,28.5,6141814
1/17/2017,28.69,28.69,28.38,28.47,7320845
1/13/2017,28.36,28.59,28.2,28.58,5159759
1/12/2017,28.12,28.32,28.02,28.24,8549073
1/11/2017,28.47,28.62,27.97,28.18,7149662
1/10/2017,28.72,28.81,28.61,28.75,5332242
1/9/2017,28.33,28.58,28.27,28.53,4158639
1/6/2017,28.41,28.55,28.33,28.43,6055478
1/5/2017,28.32,28.76,28.24,28.69,5583039
1/4/2017,27.88,28,27.78,27.93,4562521
1/3/2017,27.53,27.74,27.44,27.71,5130750
12/30/2016,27.54,27.56,27.25,27.32,3724861
12/29/2016,27.37,27.57,27.27,27.36,4589895
12/28/2016,27.52,27.54,27.19,27.21,4793849
12/27/2016,27.38,27.5,27.23,27.26,2983438
12/23/2016,27.27,27.41,27.17,27.31,2983680
12/22/2016,27.17,27.26,27.06,27.18,12610583
12/21/2016,27.15,27.18,26.92,27.06,12246099
12/20/2016,27.08,27.19,26.92,27.02,12312712
12/19/2016,27.28,27.43,26.92,26.95,15964794
12/16/2016,27.99,28.01,27.67,27.86,8478993
12/15/2016,27.43,27.79,27.4,27.7,12047962
12/14/2016,27.75,27.78,27.26,27.29,10803387
12/13/2016,27.29,27.74,27.23,27.7,10627144
12/12/2016,26.83,27.09,26.79,26.94,7254388
12/9/2016,26.71,27.42,26.7,27.16,8677307
12/8/2016,26.13,26.32,26.02,26.27,7212763
12/7/2016,26.06,26.06,25.55,25.85,11604698
12/6/2016,26.02,26.06,25.86,26.01,5151716
12/5/2016,26.03,26.04,25.68,25.82,7953440
12/2/2016,25.94,26.11,25.86,25.89,8836805
12/1/2016,26.21,26.26,25.76,25.81,9000072
11/30/2016,26.64,26.7,26.1,26.14,10600987
11/29/2016,26.84,26.98,26.7,26.71,6372927
11/28/2016,26.75,26.98,26.63,26.73,6368407
11/25/2016,27.23,27.23,26.94,27.1,9569300
11/23/2016,26.01,26.4,25.88,26.37,13544061
11/22/2016,27.13,27.16,26.38,26.43,13821429
11/21/2016,27.24,27.41,27.22,27.34,4236116
11/18/2016,27.05,27.27,27,27.12,6994277
11/17/2016,27.4,27.51,27.33,27.35,7908333
11/16/2016,27.44,27.68,27.37,27.4,6476627
11/15/2016,27.43,27.74,27.36,27.63,3514700
11/14/2016,27.57,27.85,27.53,27.65,5438943
11/11/2016,27.61,28.37,27.52,27.98,12122733
11/10/2016,27.4,28.2,27.4,27.68,17307728
11/9/2016,28.7,29.16,28.37,28.95,9201347
11/8/2016,28,28.1,27.92,27.99,4206935
11/7/2016,27.74,27.96,27.74,27.89,3647217
11/4/2016,27.72,27.87,27.63,27.66,5700438
11/3/2016,28.3,28.34,27.66,27.74,4477310
11/2/2016,28.45,28.48,28.12,28.21,6065937
11/1/2016,28.25,28.27,27.82,27.99,5870574
10/31/2016,28.5,28.59,28.3,28.32,4552864
10/28/2016,28.44,28.76,28.08,28.6,13840721
10/27/2016,30,30.03,28,28.54,20211174
10/26/2016,29.45,29.72,29.39,29.59,3803069
10/25/2016,29.9,30.04,29.4,29.79,8936796
10/24/2016,30.24,30.27,30.02,30.08,4133652
10/21/2016,30.68,30.86,30.6,30.72,2681479
10/20/2016,30.78,31.14,30.76,31,3004649
10/19/2016,30.9,31.02,30.77,30.78,3033167
10/18/2016,31.39,31.41,31.16,31.27,3923081
10/17/2016,30.32,31.1,30.27,30.73,8283519
10/14/2016,30.72,30.84,30.57,30.59,4253067
10/13/2016,30.42,30.96,30.4,30.84,3447799
10/12/2016,30.98,31.08,30.68,30.8,3401032
10/11/2016,31.56,31.69,31.04,31.12,5619033
10/10/2016,32.02,32.2,32.02,32.06,3693999
10/7/2016,32.08,32.36,32,32.29,4009040
10/6/2016,32.3,32.44,32.17,32.26,3514564
10/5/2016,32.57,32.76,32.51,32.6,4325343
