Date,Open,High,Low,Close,Volume
2/27/2017,104.66,104.92,104.28,104.47,3983
2/24/2017,105.3,105.42,104,104.27,16343
2/23/2017,107.73,108.25,104.81,105.6,13006
2/22/2017,107.35,108.9,104.93,107.68,20067
2/21/2017,107.28,108.69,107.23,108.5,10090
2/20/2017,107.05,107.56,106.41,107.48,7056
2/17/2017,105.94,106.52,105.3,106.45,3437
2/16/2017,106,106.81,105.77,105.89,3509
2/15/2017,106.2,106.58,105.82,105.95,3494
2/14/2017,106.44,106.5,105.6,106.04,4573
2/13/2017,106.1,106.86,106,106.5,13234
2/10/2017,105.7,106.25,105.58,105.99,4769
2/9/2017,102.98,106.02,102.95,105.5,7251
2/8/2017,102.96,103.08,101.45,102.88,3602
2/7/2017,101.85,103.58,101.64,103,6160
2/6/2017,103.49,103.82,101.92,102,7689
2/3/2017,103.05,103.55,103,103.42,3227
2/2/2017,102.6,103.28,102.29,103.12,5347
2/1/2017,103,103.12,102.22,102.87,9152
1/31/2017,104.32,104.68,101.87,102.08,17356
1/30/2017,106.15,106.15,104.12,104.54,11932
1/27/2017,106.35,106.74,105.66,106.34,9172
1/26/2017,104.7,107.23,104.63,106.35,14676
1/25/2017,101.68,104.82,101.61,104.35,22299
1/24/2017,101.25,101.68,100.98,101.62,4527
1/23/2017,102.3,102.33,100.6,100.88,6378
1/20/2017,101.85,102.42,101.47,102.04,6524
1/19/2017,102.11,102.62,101.62,101.76,5733
1/18/2017,100.75,102.32,100.68,101.77,11631
1/17/2017,101.1,101.1,99.7,100.79,22481
1/16/2017,101.4,101.53,100.82,101.17,5845
1/13/2017,100.4,101.73,100.4,101.51,10421
1/12/2017,100.93,101.08,99.83,100.05,10544
1/11/2017,100.9,101.88,100.4,100.85,9028
1/10/2017,101.7,102.15,100.58,101.1,7900
1/9/2017,103.3,103.3,101.1,102,10561
1/6/2017,102.89,103.18,102.28,102.42,5774
1/5/2017,102,102.8,101.56,102.8,8141
1/4/2017,102.2,102.5,101.47,102.04,12655
1/3/2017,100.4,102,99.78,102,21186
1/2/2017,98.55,100.38,98.45,100.33,8952
12/30/2016,98.52,98.8,98.14,98.8,5336
12/29/2016,98.61,98.93,97.91,98.62,5058
12/28/2016,98.65,98.83,98.3,98.51,3350
12/27/2016,98.28,98.93,98.12,98.75,3316
12/23/2016,99.05,99.05,98.14,98.38,5130
12/22/2016,98.92,98.92,98.53,98.75,5038
12/21/2016,98.5,98.69,98.13,98.69,19260
12/20/2016,98.45,99.04,98.3,98.72,16945
12/19/2016,98,98.4,97.27,98.33,9214
12/16/2016,97.76,98.16,97.28,97.28,11498
12/15/2016,96.03,98,95.95,97.66,18129
12/14/2016,96.5,96.5,95.48,96.13,9624
12/13/2016,95.05,96.55,95.02,96.29,11318
12/12/2016,94.82,95.28,94.1,95.1,12106
12/9/2016,93.41,94.7,93.07,94.32,14163
12/8/2016,90.27,93.8,90.26,93.24,31421
12/7/2016,89.3,90.4,89.16,90.35,11209
12/6/2016,88.45,89,87.7,88.8,24126
12/5/2016,87,88.46,86.6,88.46,11561
12/2/2016,86.69,87.5,86.06,87.5,12125
12/1/2016,88.2,88.46,86.38,86.69,10360
11/30/2016,88.68,88.91,88.2,88.7,5211
11/29/2016,88.25,89.36,88.13,88.8,7542
11/28/2016,88.8,88.9,87.7,88.65,8150
