Date,Open,High,Low,Close,Volume
2/27/2017,69.82,70.54,69.8,70.5,6354158
2/24/2017,69.32,70.07,69.05,69.94,7382357
2/23/2017,68.74,69.52,68.43,69.37,7529059
2/22/2017,69.11,69.73,68.66,68.83,10073355
2/21/2017,70,70,68.83,69.29,11190406
2/17/2017,70.18,70.79,69.71,69.85,11186926
2/16/2017,70,70.67,69.26,70.31,10965471
2/15/2017,67.7,69.98,67.66,69.8,16656620
2/14/2017,68.6,68.67,67.33,67.55,14972621
2/13/2017,66.81,67.78,66.5,67.65,15885076
2/10/2017,65.85,66.78,65.43,66.36,16208423
2/9/2017,66.34,66.79,65.38,65.59,23070617
2/8/2017,67.27,67.27,65.75,66.83,51547414
2/7/2017,72.56,73.3,72.41,73.13,13325377
2/6/2017,72.02,72.67,71.44,72.39,7634966
2/3/2017,72.74,72.75,71.77,72.34,8034271
2/2/2017,72.61,72.83,71.78,72.25,8814249
2/1/2017,72.72,72.88,72.06,72.82,7441835
1/31/2017,71.13,72.58,70.99,72.45,10365481
1/30/2017,71,71.67,70.74,71.51,7242500
1/27/2017,71.43,72.17,71.16,71.26,6939722
1/26/2017,71.78,71.85,71.15,71.22,8580128
1/25/2017,70.82,72.34,70.72,71.91,14026510
1/24/2017,70.6,70.98,69.78,70.25,10912814
1/23/2017,70.87,71.29,70.3,70.69,9657611
1/20/2017,71.97,72,70.58,71.01,10270332
1/19/2017,71.82,72.25,71.23,71.57,9810909
1/18/2017,72.24,72.47,71.5,72.13,9910026
1/17/2017,72.92,72.92,71.73,71.91,11706566
1/13/2017,73.63,73.78,73,73.07,8269090
1/12/2017,73.53,73.68,72.93,73.36,7057690
1/11/2017,75.52,75.55,73.01,73.77,14165686
1/10/2017,76.46,76.5,74.93,75.01,8869808
1/9/2017,75.93,76.09,75.27,75.84,10165306
1/6/2017,76.45,76.5,75.41,75.49,8979989
1/5/2017,76.84,76.85,75.57,76.01,9413125
1/4/2017,74.53,76.98,74.38,76.38,14914161
1/3/2017,72.34,74.23,72.18,74.16,10953724
12/30/2016,72.03,72.26,71.3,71.61,9220862
12/29/2016,72.77,72.85,71.94,72.13,7533582
12/28/2016,73.61,73.7,72.62,72.77,6387643
12/27/2016,73.52,74.8,73.51,73.73,6632942
12/23/2016,73.3,73.89,73.22,73.64,5307649
12/22/2016,73.68,73.75,72.92,73.3,8413820
12/21/2016,74.03,74.83,73.56,73.96,7018656
12/20/2016,74.51,74.63,73.43,74.05,8451975
12/19/2016,73.61,75.3,73.55,74.4,8212233
12/16/2016,74.43,74.96,73.94,74.1,14437460
12/15/2016,75.8,75.99,74.91,75.55,9448767
12/14/2016,74.86,76.32,74.86,75.71,11822755
12/13/2016,73.41,75.87,73.4,74.84,12692969
12/12/2016,72.56,73.68,72.13,73.47,9475901
12/9/2016,72.34,73.13,71.95,72.7,9936284
12/8/2016,72.46,72.6,70.83,72.02,12333522
12/7/2016,71.78,72.9,71.55,72.78,13061031
12/6/2016,72.67,72.67,71.95,72.47,8723896
12/5/2016,72.79,72.97,71.93,72.36,9985859
12/2/2016,73.04,73.6,72.16,72.42,9227901
12/1/2016,73.97,74.03,72.72,72.84,8270187
11/30/2016,75,75.08,73.59,73.7,10627256
11/29/2016,74.69,75.4,74.29,74.87,7160662
11/28/2016,75.3,75.44,74.22,74.54,9338882
11/25/2016,75.47,75.55,74.87,75.44,3068606
11/23/2016,73.84,75.35,73.76,75.3,6849189
11/22/2016,75.06,75.44,74.02,74.46,6019644
11/21/2016,74.66,75.19,74.45,74.98,6810556
11/18/2016,75.59,75.74,74.25,74.62,8194306
11/17/2016,75.72,76.02,74.85,75.58,9413492
11/16/2016,76.08,76.88,75.57,76,8414999
11/15/2016,77.03,77.11,75,76.35,8560108
11/14/2016,77.04,77.12,76.07,76.75,8832802
11/11/2016,77.48,77.51,75.29,76.42,12949556
11/10/2016,79.66,80,76.94,77.84,16651836
11/9/2016,76.8,80,76.75,78.47,26693678
11/8/2016,73.93,74.66,73.28,74.04,7449578
11/7/2016,73.48,74.71,73.05,74,9513489
11/4/2016,71.52,73.29,71.39,72.43,11779549
11/3/2016,72.33,72.93,71.68,71.76,9286221
11/2/2016,74,74.35,72.45,72.51,14619961
11/1/2016,73.63,74.29,73.06,74.07,10741636
10/31/2016,74.09,74.44,73.55,73.63,8457021
10/28/2016,74.75,74.78,73.23,73.88,13159961
10/27/2016,75.93,76.36,75.64,75.83,9596438
10/26/2016,74.51,75.8,74.26,75.38,8332957
10/25/2016,74.04,74.68,73.91,74.41,6140797
10/24/2016,74.51,74.78,73.74,74.15,7404026
10/21/2016,74.1,74.94,73.78,74.29,8256474
10/20/2016,73.14,74.81,73.1,74.31,10351438
10/19/2016,73.5,73.92,73.31,73.34,6326426
10/18/2016,73.4,73.83,72.91,73.41,6353498
10/17/2016,72.54,73.46,72.31,72.64,8181411
10/14/2016,73.27,73.5,72.73,72.75,7359055
10/13/2016,72.29,73.93,72.21,73.06,10586082
10/12/2016,74.18,74.2,72.92,73.03,10014543
10/11/2016,75.14,75.28,73.56,73.82,11909999
10/10/2016,75.5,75.97,75.26,75.49,7161123
10/7/2016,76.45,76.48,74.92,75.24,11149150
10/6/2016,77.38,77.76,76.08,76.21,10168169
10/5/2016,77.35,78,77.2,77.57,7910212
10/4/2016,77.6,78.42,77.12,77.24,8219372
10/3/2016,78.63,78.97,77.25,78.03,10626220
9/30/2016,78.06,79.63,78.05,79.12,11031540
9/29/2016,79.16,79.34,77.75,77.86,7618560
9/28/2016,79.12,79.5,78.51,78.97,6854065
9/27/2016,79.32,79.9,78.64,79.25,13214277
9/26/2016,81,81.13,79.92,80.62,9036049
9/23/2016,81.55,82,81.22,81.37,7534538
9/22/2016,81.97,82,80.9,81.52,8213760
9/21/2016,82.03,82.05,80.66,81.7,13628830
9/20/2016,79.64,82.07,79.63,81.78,17560698
9/19/2016,78.92,79.51,78.81,78.99,7234173
9/16/2016,78.85,79.19,78.41,78.8,10307872
9/15/2016,77.75,79.2,77.27,78.84,10138588
9/14/2016,77.94,78.4,77.44,77.62,8323298
9/13/2016,78.66,78.66,77.5,78.06,9389637
9/12/2016,77.69,79.03,77.69,78.85,8896126
9/9/2016,78.46,79,78.05,78.05,10415211
9/8/2016,78.33,79.14,77.6,78.99,8549621
9/7/2016,78.38,78.8,77.92,78.22,8232697
9/6/2016,77.78,78.29,77.25,77.88,11648436
9/2/2016,77.62,77.76,76.67,76.89,7918357
9/1/2016,78.43,78.46,76.94,77.42,12403880
8/31/2016,77.74,78.6,77.58,78.38,9758501
8/30/2016,78.05,78.39,77.66,77.92,9174195
8/29/2016,79.65,79.7,77.63,78.17,15383507
8/26/2016,80.11,80.33,79.27,79.77,8928026
8/25/2016,80.45,81,79.3,80.08,9220130
8/24/2016,81.47,82.1,80.18,80.5,9699633
8/23/2016,81.46,81.64,81.02,81.47,8279443
8/22/2016,80.89,81.53,80.6,80.92,7521994
8/19/2016,80.56,81.18,80.23,81,8227939
8/18/2016,80.87,81.27,80.18,80.59,8994390
8/17/2016,79.46,80.87,79.3,80.7,10583799
8/16/2016,79.57,79.8,79.24,79.25,7969868
8/15/2016,79.88,80.09,79.43,79.65,7464775
