Date,Open,High,Low,Close,Volume
2/27/2017,41.23,41.67,41.21,41.57,2760311
2/24/2017,41.25,41.56,41.18,41.56,3197341
2/23/2017,41.26,41.6,41.16,41.49,2855500
2/22/2017,40.97,41.24,40.94,41.03,3784865
2/21/2017,41.42,41.75,41.31,41.63,5968779
2/17/2017,41.02,41.34,40.88,41.34,4272870
2/16/2017,41.1,41.18,40.86,40.92,4413748
2/15/2017,39.98,40.58,39.93,40.57,4084632
2/14/2017,39.88,40.12,39.79,40.11,4524821
2/13/2017,40.2,40.3,39.92,39.99,6614244
2/10/2017,39.98,40.46,39.9,40.28,3685782
2/9/2017,40.23,40.32,40,40.02,3930619
2/8/2017,39.3,39.86,39.25,39.75,3883930
2/7/2017,39.41,39.65,39.39,39.46,4079542
2/6/2017,39.23,39.58,39.2,39.56,2549898
2/3/2017,39.29,39.41,39.24,39.32,2717811
2/2/2017,39.26,39.42,39.13,39.3,2763200
2/1/2017,39.59,39.59,39.15,39.46,3575325
1/31/2017,38.78,39.35,38.77,39.31,3490735
1/30/2017,38.77,39.01,38.68,39,3700370
1/27/2017,38.77,38.86,38.62,38.73,2746533
1/26/2017,38.94,38.96,38.75,38.82,3251129
1/25/2017,39.1,39.1,38.78,38.88,4886005
1/24/2017,38.73,38.79,38.51,38.73,2961798
1/23/2017,38.77,38.98,38.56,38.92,3496622
1/20/2017,38.67,38.75,38.55,38.72,2249977
1/19/2017,39,39.08,38.67,38.75,3872525
1/18/2017,38.94,39.07,38.81,38.89,3012061
1/17/2017,39.24,39.37,38.94,39.3,3998771
1/13/2017,38.96,39.33,38.85,39.22,3228108
1/12/2017,38.94,39.15,38.8,39.01,4240501
1/11/2017,39.27,39.36,38.76,39.05,5387010
1/10/2017,39.39,39.46,39.3,39.34,3084500
1/9/2017,39.23,39.6,39.2,39.43,3840900
1/6/2017,39.36,39.5,39.34,39.38,2891245
1/5/2017,39.2,39.79,39.18,39.73,3020435
1/4/2017,38.9,39.17,38.83,39.09,2987672
1/3/2017,38.55,38.87,38.45,38.84,3869728
12/30/2016,38.65,38.74,38.41,38.51,2902299
12/29/2016,38.46,38.6,38.34,38.44,3330032
12/28/2016,38.36,38.45,38.14,38.16,2908983
12/27/2016,38.35,38.47,38.25,38.28,2349337
12/23/2016,38.2,38.42,38.2,38.35,1969834
12/22/2016,38.31,38.45,38.09,38.28,3425854
12/21/2016,38.25,38.37,38.12,38.13,3084574
12/20/2016,38.39,38.43,38.18,38.3,3490590
12/19/2016,38.35,38.57,38.26,38.31,3332817
12/16/2016,38.43,38.62,38.28,38.54,5025053
12/15/2016,38.34,38.34,38.03,38.12,4052812
12/14/2016,38.31,38.47,37.94,37.96,3835585
12/13/2016,38.28,38.7,38.23,38.45,4567151
12/12/2016,37.75,37.96,37.71,37.82,3855067
12/9/2016,37.68,37.87,37.59,37.79,6515493
12/8/2016,37.41,37.51,37.2,37.39,5409951
12/7/2016,37.47,37.63,37.2,37.55,4975806
12/6/2016,37.5,37.8,37.48,37.69,3639562
12/5/2016,37.82,37.85,37.56,37.67,3828923
12/2/2016,37.54,37.85,37.46,37.7,3910786
12/1/2016,37.58,37.68,37.36,37.43,4802677
11/30/2016,38.15,38.2,37.77,37.79,5655904
11/29/2016,38.31,38.37,38.17,38.27,4381576
11/28/2016,38.49,38.57,38.28,38.29,3321901
11/25/2016,38.99,38.99,38.75,38.86,3027774
11/23/2016,37.74,38.14,37.65,38.1,4103422
11/22/2016,38.52,38.59,37.85,38.04,3673658
11/21/2016,38.36,38.46,38.23,38.43,3060548
11/18/2016,38.29,38.34,38.04,38.11,3429658
11/17/2016,38.28,38.52,38.2,38.45,6252778
11/16/2016,38.56,38.88,38.1,38.18,8761861
11/15/2016,38.73,38.99,38.6,38.93,3964132
11/14/2016,39.03,39.08,38.81,38.98,3105436
11/11/2016,39.37,39.62,39.07,39.19,5681499
11/10/2016,39.67,40.16,39.42,39.9,5776940
11/9/2016,40.18,40.6,39.6,40.4,7359611
11/8/2016,38.99,39.4,38.93,39.14,3381650
11/7/2016,38.89,39,38.76,38.84,3327351
11/4/2016,38.78,38.88,38.56,38.63,4027132
11/3/2016,39.63,39.67,38.72,38.74,4225579
11/2/2016,39.87,39.91,39.43,39.49,4918446
11/1/2016,39.87,40.11,39.64,39.85,4376481
10/31/2016,39.8,40.14,39.61,40.01,3762224
10/28/2016,40.39,40.44,40.01,40.14,4250558
10/27/2016,40.56,40.7,40.1,40.42,4985173
10/26/2016,39.74,40.48,39.56,40.34,5428889
10/25/2016,40.45,40.51,40.19,40.32,6494688
10/24/2016,40.9,41.02,40.65,40.68,3094211
10/21/2016,41.01,41.25,40.96,41.13,2302444
10/20/2016,41.11,41.6,41.09,41.43,3432723
10/19/2016,41.53,41.71,41.44,41.49,2309042
10/18/2016,41.61,41.8,41.54,41.76,2485450
10/17/2016,41.31,41.5,41.19,41.19,3855964
10/14/2016,41.93,42.03,41.68,41.68,3538625
10/13/2016,41.64,42.58,41.6,42.39,3862990
10/12/2016,42.13,42.19,41.85,42.08,2347858
10/11/2016,42.85,42.87,42.05,42.14,3022670
10/10/2016,42.95,43.16,42.94,43.04,1581138
10/7/2016,42.78,43.01,42.68,42.96,2177718
10/6/2016,42.89,43,42.77,42.9,1711688
10/5/2016,43.33,43.44,43.2,43.33,2088451
10/4/2016,43.89,43.92,43.23,43.44,3260562
10/3/2016,43.22,43.28,42.98,43.22,2368238
9/30/2016,42.9,43.27,42.82,43.13,2598392
9/29/2016,43.64,43.66,42.76,42.9,3449131
9/28/2016,43.72,43.78,43.3,43.67,1969010
9/27/2016,42.83,43.34,42.72,43.32,2084804
9/26/2016,43.09,43.1,42.87,42.96,2056978
9/23/2016,43.2,43.52,43.18,43.42,2128068
9/22/2016,43.62,43.87,43.53,43.58,1899058
9/21/2016,42.99,43.26,42.64,43.21,3227984
9/20/2016,43.32,43.41,43.02,43.06,2581837
9/19/2016,43.46,43.51,43.22,43.3,2192690
9/16/2016,43.08,43.22,42.7,42.88,3206109
9/15/2016,43.13,43.62,42.95,43.54,1908781
9/14/2016,43.01,43.23,42.8,43.15,2719597
9/13/2016,43.03,43.07,42.43,42.51,3655096
9/12/2016,42.5,43.35,42.48,43.3,3214534
9/9/2016,42.91,43,42.5,42.5,3425586
9/8/2016,43.66,43.81,43.56,43.65,2393718
9/7/2016,43.73,44.02,43.73,43.82,3080958
9/6/2016,44.08,44.2,43.88,43.99,2944238
9/2/2016,43.89,44.46,43.76,44.26,3873012
9/1/2016,43.07,43.19,42.88,42.98,3220811
8/31/2016,43.38,43.51,43.25,43.46,2370365
8/30/2016,43.44,43.59,43.35,43.36,1914054
8/29/2016,43.54,43.7,43.39,43.61,2133972
8/26/2016,43.79,44.19,43.43,43.55,3571015
8/25/2016,44,44.1,43.65,43.74,2259901
8/24/2016,44.45,44.54,43.82,43.9,2605931
8/23/2016,44.47,44.5,44.2,44.41,2490868
8/22/2016,43.89,44.29,43.88,44.12,1874302
8/19/2016,44.02,44.17,43.9,44.16,2321509
8/18/2016,44.52,44.58,44.36,44.49,1526945
8/17/2016,44.5,44.51,44.07,44.39,1751701
8/16/2016,44.42,44.59,44.32,44.32,2197299
8/15/2016,44.39,44.59,44.33,44.4,2042345
8/12/2016,44.45,44.49,44.03,44.17,2368950
8/11/2016,44.25,44.41,44.15,44.39,1940623
8/10/2016,44.37,44.37,43.98,44.13,2331081
8/9/2016,44.06,44.51,44.05,44.4,2429868
8/8/2016,44.18,44.45,44.14,44.41,4597803
8/5/2016,44.49,44.93,44.49,44.89,2735825
8/4/2016,44.87,45.21,44.83,45.08,1754230
