Date,Open,High,Low,Close,Volume
2/27/2017,122.13,122.88,122.1,122.4,5946157
2/24/2017,121.5,122.74,120.9,122.73,10834986
2/23/2017,119.52,121.9,119.48,121.7,9980945
2/22/2017,119.28,119.77,119.25,119.52,5103903
2/21/2017,118.4,119.89,118.32,119.66,8595110
2/17/2017,118.19,118.9,118.05,118.86,8691397
2/16/2017,117,118.28,117,118.08,7119291
2/15/2017,115.9,117.46,115.59,117.2,5979679
2/14/2017,115.44,116.4,115.32,116.36,5539136
2/13/2017,115.28,116.12,115.22,115.88,5710779
2/10/2017,114.32,115.99,114.23,115.24,6438536
2/9/2017,113.47,114.65,113.4,114.08,5854606
2/8/2017,113.3,113.69,113.15,113.4,5271951
2/7/2017,113.6,113.62,113.05,113.48,5507915
2/6/2017,113.46,113.59,112.62,113.4,6178433
2/3/2017,113.5,113.66,112.66,113.64,7267569
2/2/2017,112.82,113.62,112.77,113.57,7826308
2/1/2017,112.48,113.32,112.47,113.23,7082322
1/31/2017,112.79,113.4,112.43,113.25,8713408
1/30/2017,113.4,113.6,112.85,113.13,6969430
1/27/2017,112,113.54,111.9,113.38,8886070
1/26/2017,112,112.84,111.6,111.84,10164341
1/25/2017,111.93,112.8,110.76,112.8,9385502
1/24/2017,112.91,113.3,111.15,111.76,12450307
1/23/2017,114.51,114.77,113.8,113.91,7989760
1/20/2017,114.49,115.03,114.08,114.15,7502425
1/19/2017,114.68,114.9,113.92,114.2,5540831
1/18/2017,114.94,115.1,114.41,114.7,5014570
1/17/2017,113.94,115.05,113.67,114.87,6255447
1/13/2017,114.94,115.02,114.44,114.6,4935188
1/12/2017,114.27,114.73,113.37,114.62,6627250
1/11/2017,116.08,116.25,114.02,114.73,8887197
1/10/2017,116.03,117,115.87,116.16,5312812
1/9/2017,116.35,116.61,115.89,116.28,5457539
1/6/2017,116.67,117,115.76,116.3,5221381
1/5/2017,116,116.97,115.44,116.86,6217214
1/4/2017,115.5,116.23,115.31,115.65,5828946
1/3/2017,115.78,116,115.23,115.84,5953048
12/30/2016,115.8,115.99,114.98,115.21,5506734
12/29/2016,115.23,115.87,115.01,115.49,2993622
12/28/2016,115.88,116.16,115.05,115.1,3278292
12/27/2016,115.89,116,115.38,115.91,3232942
12/23/2016,115.4,116.32,115.3,115.96,2993339
12/22/2016,115,115.53,113.88,115.44,4602309
12/21/2016,116.2,116.2,114.74,115.31,5907740
12/20/2016,115.98,116.25,114.91,115.66,5715163
12/19/2016,116.07,116.66,115.94,116.02,6310789
12/16/2016,116.41,116.46,115.46,115.88,11291124
12/15/2016,115.33,115.92,114.89,115.89,6738083
12/14/2016,116.12,117.3,114.58,114.99,9378704
12/13/2016,115.53,115.97,115.01,115.89,7051623
12/12/2016,112.69,115.4,112.58,115.36,9544614
12/9/2016,111.41,112.43,111.2,112.26,7672088
12/8/2016,110.54,111.2,109.93,110.99,7774945
12/7/2016,111.89,111.89,109.32,111.1,11761134
12/6/2016,112.24,113.2,111.85,112.06,6530358
12/5/2016,112.4,112.42,111.73,111.94,5451568
12/2/2016,111.72,112.53,111.44,111.96,6167740
12/1/2016,111.36,111.54,111,111.38,8143287
11/30/2016,112.19,112.52,111.3,111.3,11178468
11/29/2016,112.95,113.41,112.16,112.48,7799649
11/28/2016,113.79,114.12,113.05,113.13,9065730
11/25/2016,113.6,114.23,113.38,114.13,3433340
11/23/2016,112.25,113.43,111.56,113.07,8467037
11/22/2016,114.59,115,112.27,112.74,11649748
11/21/2016,115.44,115.68,114.8,115,5843313
11/18/2016,115.79,115.92,114.81,115.36,7717773
11/17/2016,116.68,116.68,116.12,116.57,5702591
11/16/2016,116.65,116.78,116.08,116.36,6594838
11/15/2016,116.4,116.69,115.82,116.32,7446670
11/14/2016,118.58,118.99,116.5,116.6,10054905
11/11/2016,119.49,119.49,118.13,118.47,8134783
11/10/2016,120.77,121.1,119.02,119.54,11905170
11/9/2016,120,122.5,118.1,120.31,16219977
11/8/2016,116.48,117.57,116.47,117.05,6675268
11/7/2016,115.89,116.72,115.84,116.66,6398177
11/4/2016,115.04,115.94,115.04,115.11,7160570
11/3/2016,114.88,115.44,114.75,115.03,6227110
11/2/2016,115.52,115.76,114.83,114.86,6591318
11/1/2016,114.76,115.94,114.63,115.34,7591930
10/31/2016,115.28,116.23,114.5,115.99,8552528
10/28/2016,115.82,115.91,114.57,115.33,8813324
10/27/2016,114.98,116.55,114.79,115.7,7548667
10/26/2016,113.64,115.22,113.6,114.56,6429241
10/25/2016,113.64,114.16,113.09,113.96,5594989
10/24/2016,113.93,114.19,113.44,113.61,6141858
10/21/2016,114.11,114.24,112.99,113.44,8422032
10/20/2016,114.83,115.7,114.59,114.87,6973009
10/19/2016,115.57,115.89,114.46,114.59,7400937
10/18/2016,117.38,118.48,115.16,115.41,12598255
10/17/2016,117.5,118.55,117.5,118.49,6956374
10/14/2016,118.5,118.8,117.56,117.56,5640519
10/13/2016,117.54,119.2,117.28,118.26,7387365
10/12/2016,117.96,118.43,117.5,117.97,4686022
10/11/2016,119.41,119.63,117.06,117.64,6394159
10/10/2016,119.51,120.2,119.35,119.8,3657049
10/7/2016,119.17,119.56,118.69,119.24,4799292
10/6/2016,118.5,118.85,117.92,118.75,4448450
10/5/2016,119.22,119.44,118.6,119.18,5778691
10/4/2016,118.84,119.48,118.28,118.82,5733934
10/3/2016,118,119.01,117.43,118.81,6098589
9/30/2016,117.78,118.62,117.39,118.13,7941065
9/29/2016,118.88,119.27,117.04,117.27,6190185
9/28/2016,119.05,119.52,118.81,119.39,5076091
9/27/2016,118.39,119.22,117.72,119.22,5349466
9/26/2016,118.63,118.64,117.56,117.78,5998854
9/23/2016,119.41,119.6,118.71,118.81,4772980
9/22/2016,119.25,119.84,119.14,119.46,5340466
9/21/2016,117.95,119,117.64,118.91,6337292
9/20/2016,118.17,118.24,117.69,117.95,5187716
9/19/2016,118.36,118.66,117.64,117.66,5457633
9/16/2016,118.51,119.14,118.12,118.25,12408779
9/15/2016,117.81,118.94,117.32,118.63,5814900
9/14/2016,117.85,118.33,117.46,117.86,6124894
9/13/2016,118.42,118.83,117.49,117.61,7957869
9/12/2016,117.76,119.45,117.38,119.16,7239795
9/9/2016,119.03,119.16,118.18,118.23,7957267
9/8/2016,119.37,119.82,119.14,119.47,4833010
9/7/2016,119.84,119.95,119.44,119.61,4753760
9/6/2016,119.78,119.97,119.36,119.75,5280652
9/2/2016,119.36,119.81,118.9,119.32,5770249
9/1/2016,119.19,119.39,118.6,119.08,4551792
8/31/2016,119.54,119.62,119.01,119.34,5693081
8/30/2016,120.67,120.67,119.26,119.47,3820510
8/29/2016,119.3,120.13,119.06,119.92,5074924
8/26/2016,118.84,119.74,118.56,119.04,6482673
8/25/2016,118.86,119.21,118.33,118.57,5566048
8/24/2016,119.48,119.61,118.62,118.71,6303942
8/23/2016,119.67,119.96,119.02,119.44,5603177
8/22/2016,119.9,119.9,118.95,119.13,6544864
8/19/2016,119.91,119.99,119.32,119.92,7798299
8/18/2016,121.17,121.39,119.9,120.72,8728000
8/17/2016,120.5,121.33,119.85,121.31,10442818
8/16/2016,122.11,122.32,120.06,120.33,11289111
8/15/2016,123.12,123.27,122.28,122.31,6469495
8/12/2016,123.47,123.77,122.95,123.22,4234841
8/11/2016,123.85,124.14,123.47,123.77,4051971
8/10/2016,123.59,123.78,123.24,123.36,4333466
8/9/2016,123.91,124,123.33,123.43,3941488
8/8/2016,124,124.15,123.23,123.65,5232469
8/5/2016,124.38,124.38,123.76,124.24,5146935
8/4/2016,124.24,124.39,123.64,123.86,4728165
