Date,Open,High,Low,Close,Volume
2/27/2017,65.78,65.94,65.56,65.85,7134489
2/24/2017,65.65,66.16,65.63,66.16,8444253
2/23/2017,65.52,66.11,65.34,65.85,6855571
2/22/2017,65.5,65.75,65.09,65.29,8679633
2/21/2017,64.9,65.78,64.9,65.48,7386072
2/17/2017,65.2,65.56,64.86,65.39,9048256
2/16/2017,65.14,65.41,64.46,65.26,12346265
2/15/2017,64.9,65.87,64.85,65.16,17807287
2/14/2017,64.64,65.72,64.43,65.66,10142722
2/13/2017,64.25,64.83,64.22,64.77,7151139
2/10/2017,64.32,64.57,63.96,64.15,8531370
2/9/2017,64.34,64.82,64.3,64.39,7052880
2/8/2017,63.9,64.48,63.83,64.32,5906828
2/7/2017,64.76,64.93,64.05,64.2,8435269
2/6/2017,63.92,64.95,63.9,64.94,9158767
2/3/2017,63.86,64.33,63.27,64.29,11650528
2/2/2017,62.64,64.21,62.53,64.18,18990180
2/1/2017,62.06,62.27,61.56,62.1,11018765
1/31/2017,61.06,62.24,60.92,61.99,9821054
1/30/2017,61.52,61.71,60.92,61.43,7853564
1/27/2017,61.38,61.99,61.3,61.75,6653211
1/26/2017,61.02,61.36,60.54,61.2,12707468
1/25/2017,61.32,61.38,60.76,61.08,14556969
1/24/2017,61.59,61.69,60.73,61.21,10487452
1/23/2017,61.81,62.4,61.63,61.81,10201696
1/20/2017,62.4,62.92,62.15,62.53,25240347
1/19/2017,61.05,61.08,60.07,60.33,11397928
1/18/2017,61.38,61.78,61.08,61.17,8131662
1/17/2017,61.92,62.07,61.2,61.48,10592686
1/13/2017,62.33,62.68,62.1,62.34,9969105
1/12/2017,62.53,63.24,62.12,62.21,24885363
1/11/2017,62.34,63.16,60.75,61.63,32711722
1/10/2017,61.2,61.24,59.89,59.92,15302218
1/9/2017,60.3,61.48,60.08,61.1,9734637
1/6/2017,60.09,60.46,59.53,60.27,10238738
1/5/2017,60.22,60.58,60,60.11,10096779
1/4/2017,60.5,60.79,60.04,60.13,9411941
1/3/2017,59.15,60.38,59.05,60.15,11988657
