Date,Open,High,Low,Close,Volume
2/27/2017,77.35,77.7,77.29,77.58,1635734
2/24/2017,76.84,77.35,76.82,77.28,2748937
2/23/2017,77.36,77.66,77.07,77.45,3532363
2/22/2017,76.5,77.11,76.48,76.85,3981486
2/21/2017,76.53,77.34,76.48,77.04,3897897
2/17/2017,76.27,77.21,76.23,77.2,3566815
2/16/2017,76.44,76.75,76.13,76.73,2497879
2/15/2017,74.9,75.91,74.86,75.83,3136451
2/14/2017,74.99,75.33,74.53,75.16,3080706
2/13/2017,75.43,75.46,75.15,75.43,2865835
2/10/2017,74.8,75.39,74.75,75.21,2025492
2/9/2017,74.98,75.4,74.88,75.12,2633393
2/8/2017,73.95,74.64,73.85,74.6,2620975
2/7/2017,74.39,74.45,73.98,74.14,2015578
2/6/2017,73.65,74.1,73.65,74.08,1995755
2/3/2017,73.62,73.97,73.49,73.89,3019758
2/2/2017,72.76,73.24,72.72,73.08,4212413
2/1/2017,73.11,73.45,72.74,73.42,5323274
1/31/2017,72.49,73.95,72.25,73.92,3501744
1/30/2017,71.95,72.5,71.81,72.3,4098043
1/27/2017,71.7,72.23,71.5,72.21,4527842
1/26/2017,72.23,72.32,71.77,71.91,4885056
1/25/2017,71.23,72.33,70.76,72.16,6469700
1/24/2017,69.94,70.19,69.53,70.03,4071596
1/23/2017,70.19,70.41,69.82,70.14,4729068
1/20/2017,70.41,70.79,70.3,70.65,3027134
1/19/2017,70.5,70.88,70.23,70.43,5658287
1/18/2017,71.83,72.08,71.7,71.89,2627218
1/17/2017,71.52,72.05,71.22,71.99,7406792
1/13/2017,72.76,72.76,72.28,72.4,6149958
1/12/2017,71.72,72.84,71.69,72.79,5450109
1/11/2017,73.38,73.57,71.86,72.72,3767004
1/10/2017,74.3,74.44,74.05,74.11,2122819
1/9/2017,73.68,74.38,73.43,74.17,2911403
1/6/2017,73.57,73.83,73.44,73.49,3653925
1/5/2017,73.7,74.39,73.38,74.07,3428267
1/4/2017,72.19,72.72,71.93,72.62,3663726
1/3/2017,72.89,73.1,72.46,72.83,3368875
12/30/2016,73.08,73.36,72.59,72.84,3679105
12/29/2016,72.74,72.84,72.38,72.44,2200222
12/28/2016,72.49,72.5,71.61,71.62,1584644
12/27/2016,72.55,72.58,71.97,72.04,1878037
12/23/2016,71.93,72.03,71.69,71.85,1471218
12/22/2016,72.12,72.15,71.68,71.77,2391881
12/21/2016,72.1,72.16,71.5,71.51,1927180
12/20/2016,72.06,72.19,71.64,71.96,2645658
12/19/2016,71.87,72.19,71.58,71.63,2857763
12/16/2016,71.5,71.84,71.37,71.78,3438305
12/15/2016,71.2,71.4,70.87,71.06,2578395
12/14/2016,71.61,71.71,70.76,70.94,5049184
12/13/2016,71.06,71.47,71.02,71.22,3218144
12/12/2016,69.13,69.57,69.01,69.44,3203852
12/9/2016,69.15,69.94,69.09,69.74,3219247
12/8/2016,67.05,67.65,66.93,67.59,5415045
12/7/2016,68.73,68.76,68.01,68.62,3187894
12/6/2016,68.86,69.08,68.55,68.96,2134810
12/5/2016,68.66,69.09,68.5,68.97,2987940
12/2/2016,67.66,68.3,67.57,68.17,2474290
12/1/2016,68.24,68.42,67.54,67.75,2401267
11/30/2016,69.45,69.45,68.75,68.76,2189769
11/29/2016,68.99,69.33,68.85,68.96,1829954
11/28/2016,69.53,69.72,69.04,69.08,2267189
11/25/2016,70.15,70.15,69.52,69.58,1770452
11/23/2016,67.43,68.84,67.28,68.81,4877667
11/22/2016,68.71,68.77,67.63,68.09,5434070
11/21/2016,69.94,70.24,69.88,70.13,2805530
11/18/2016,71.29,71.46,70.55,70.64,2865785
11/17/2016,72.44,72.73,72.18,72.54,3147268
11/16/2016,71.47,72.46,71.47,72.19,7304147
11/15/2016,71.19,72.05,71.04,71.9,2877019
11/14/2016,71.71,72.35,71.67,72.04,4034704
11/11/2016,73.75,73.97,72.97,73.49,2838371
11/10/2016,73.78,74.49,73.31,74.07,5227807
11/9/2016,73.65,74.51,72.98,74.29,7322632
11/8/2016,71.2,71.58,70.86,71.28,2143788
11/7/2016,70.83,71.17,70.7,70.9,2784857
11/4/2016,70.27,70.42,70.04,70.25,2988356
11/3/2016,71.22,71.23,69.84,69.92,4062757
11/2/2016,71.96,72,71.18,71.26,3195743
11/1/2016,71.34,71.6,70.94,71.35,2997109
10/31/2016,71.72,71.74,70.95,71.02,3155004
10/28/2016,71.64,71.71,71.01,71.07,4362926
10/27/2016,72.13,72.29,71.44,71.61,2907718
10/26/2016,71.31,71.8,70.96,71.13,3181327
10/25/2016,72.81,73.2,72.46,72.63,6130489
10/24/2016,74.84,75.89,74.78,75.45,4287956
10/21/2016,75.13,75.61,75.05,75.54,1789444
10/20/2016,75.56,76.22,75.54,75.92,1722641
10/19/2016,75.89,75.98,75.62,75.65,1572299
10/18/2016,75.89,76.39,75.82,76.31,2911242
10/17/2016,75.64,75.79,75.3,75.58,3019213
10/14/2016,76.72,77.09,76.09,76.09,4044586
10/13/2016,74.68,77.27,74.61,76.76,7886632
10/12/2016,75.85,76.64,75.59,76.37,4066464
10/11/2016,77.21,77.35,76.61,76.81,3511674
10/10/2016,77.1,77.84,77.04,77.75,2599139
10/7/2016,78.55,78.62,77.76,78.29,1427848
10/6/2016,78.67,78.73,78.37,78.45,982395
10/5/2016,79.12,79.25,78.84,79.13,935863
10/4/2016,78.97,79.29,78.51,78.86,1354163
10/3/2016,78.94,79.08,78.7,79,1162587
9/30/2016,78.41,79.14,78.28,78.96,3635597
9/29/2016,80.53,80.68,79.09,79.25,1926376
9/28/2016,81.21,81.39,80.64,81.22,1495784
9/27/2016,79.85,80.9,79.71,80.88,1485891
9/26/2016,81.04,81.13,80.58,80.73,1249311
9/23/2016,81.12,81.68,81.09,81.48,1031218
9/22/2016,81.94,82.24,81.8,82.03,1594450
9/21/2016,81.05,81.69,80.6,81.52,1308189
9/20/2016,81.2,81.37,80.99,81.06,1342125
9/19/2016,79.82,80.22,79.77,79.94,1375784
9/16/2016,79.55,79.64,79.13,79.34,1111327
9/15/2016,79,80.17,78.8,79.88,1261342
9/14/2016,79.09,79.58,78.93,79.11,1196599
9/13/2016,79.57,79.75,78.84,79.12,1292482
9/12/2016,78.94,80.35,78.89,80.28,1388396
9/9/2016,79.67,79.68,78.64,78.65,1774533
9/8/2016,80.53,80.72,80.17,80.25,1469425
9/7/2016,80.44,80.72,80.21,80.36,1627394
9/6/2016,79.8,80.3,79.69,80.15,1309519
9/2/2016,79.05,79.46,78.91,79.38,1352967
9/1/2016,78.11,78.32,77.72,78.27,3767627
8/31/2016,78.72,78.82,78.36,78.77,1502991
8/30/2016,79.52,79.65,79.28,79.34,795087
8/29/2016,79.45,79.79,79.21,79.64,650535
8/26/2016,79.37,80.38,79.02,79.31,1485489
8/25/2016,79.67,80.13,77.66,79.55,1593686
8/24/2016,81.53,81.59,80.16,80.3,1400770
8/23/2016,81.91,82.16,81.36,81.36,1046302
8/22/2016,80.73,81.63,80.7,81.32,1259123
8/19/2016,81.47,81.5,81.07,81.34,1102286
8/18/2016,81.49,81.97,81.45,81.94,687904
8/17/2016,81.72,81.9,81.33,81.78,856752
8/16/2016,82.18,82.49,81.77,81.77,1112297
8/15/2016,82.06,82.69,82.06,82.34,990970
8/12/2016,82.27,82.4,81.9,82.08,1366989
8/11/2016,82.41,82.98,82.34,82.8,791707
8/10/2016,82.56,82.62,81.96,82.28,1163970
8/9/2016,82.2,82.83,82.19,82.64,891438
8/8/2016,82.33,82.6,82.16,82.28,887055
8/5/2016,82.78,83.23,82.7,83.12,1331613
8/4/2016,82.37,82.98,82.37,82.9,837340
8/3/2016,81.79,82.48,81.78,82.4,1315833
8/2/2016,83.32,83.36,82.6,82.96,1288312
8/1/2016,82.51,83.46,82.48,83.07,925227
7/29/2016,82.72,83.38,82.44,83.26,1604818
7/28/2016,82.52,82.58,81.56,82.08,1553801
7/27/2016,82.38,83.01,82.27,82.89,1168028
7/26/2016,83.16,83.48,82.85,83.02,1011157
7/25/2016,83.35,83.52,82.61,83.46,1345639
7/22/2016,83.46,83.58,83.18,83.51,1129993
7/21/2016,83.04,83.28,82.65,82.74,804664
7/20/2016,82,83.19,81.92,83.02,1604545
7/19/2016,81.24,81.87,81.24,81.53,1602709
7/18/2016,81.92,82.18,81.71,82.04,1587514
7/15/2016,81.77,82,81.46,81.61,1292159
7/14/2016,81.83,82.07,81.74,82.02,1000872
7/13/2016,82.09,82.31,81.82,82.03,1165815
7/12/2016,81.77,81.99,81.53,81.68,1715066
7/11/2016,82.54,82.65,82.24,82.31,859467
7/8/2016,81.63,82.32,81.53,82.13,1134654
7/7/2016,81.71,82.16,81.42,81.8,1299749
7/6/2016,81.13,82.08,80.85,82.02,1345465
7/5/2016,81.78,82.16,81.43,81.72,1575252
7/1/2016,82.61,82.83,82.42,82.71,1038926
6/30/2016,81.64,82.58,81.19,82.51,1709807
6/29/2016,81.2,81.59,80.91,81.18,2548407
6/28/2016,78.72,79.63,78.5,79.59,1622246
6/27/2016,77.87,77.91,76.56,77.24,2693493
6/24/2016,77.37,79.36,77.08,77.1,3171384
6/23/2016,80.37,80.72,79.81,80.67,1550187
6/22/2016,79.27,80.36,79.27,79.71,2884443
6/21/2016,79.3,79.78,78.97,79.46,2431607
6/20/2016,79.77,79.85,78.64,78.67,2306031
6/17/2016,78.16,78.28,77.52,77.91,3353040
6/16/2016,76.01,76.92,75.28,76.89,1628274
6/15/2016,76.85,77.21,76.33,76.38,1398422
6/14/2016,76.73,76.93,76.2,76.68,1699449
6/13/2016,77.74,78.26,77.29,77.33,2201460
6/10/2016,78.87,79.23,78.62,78.94,1414707
6/9/2016,80.73,81.08,80.33,80.51,1057367
6/8/2016,81.27,81.47,80.97,81.39,1552931
6/7/2016,81.96,81.97,81.58,81.61,1541930
6/6/2016,81.05,81.54,81.05,81.31,943987
6/3/2016,80.6,81.14,80.15,80.95,1158586
6/2/2016,80.24,80.88,80.22,80.71,2599275
6/1/2016,79.79,79.97,79.53,79.63,2002539
5/31/2016,80.11,80.33,79.12,79.51,1630698
5/27/2016,80.36,80.38,79.99,80.11,1246839
5/26/2016,80.03,80.27,79.91,80.14,1543625
5/25/2016,79.59,80.09,79.25,79.9,2247767
5/24/2016,77.95,78.7,77.91,78.42,1724860
5/23/2016,77.82,78.27,77.51,78.13,5039430
5/20/2016,75.55,75.87,75.5,75.79,1041182
5/19/2016,74.79,75.15,74.34,74.69,1971225
5/18/2016,75.26,76.3,75.21,75.79,2191742
5/17/2016,75.09,75.96,75.01,75.71,2626482
5/16/2016,74.59,75.68,74.52,75.63,1114091
5/13/2016,74.69,75.35,74.64,74.73,1389317
5/12/2016,75.52,75.59,74.58,74.88,1522391
5/11/2016,75.14,75.61,75.06,75.14,1595770
5/10/2016,75,75.37,74.82,75.32,1895989
5/9/2016,74,74.64,73.92,74.5,2275500
5/6/2016,72.82,73.21,72.47,73.05,2201256
5/5/2016,74.18,74.35,73.78,74.12,1542208
5/4/2016,74.99,75.05,74.21,74.33,2170767
5/3/2016,76.45,76.56,75.93,76.11,2103356
5/2/2016,76.44,76.85,76.29,76.84,3970779
4/29/2016,76.7,76.77,75.64,75.97,2267494
4/28/2016,76.8,77.31,76.55,76.81,2211069
4/27/2016,76.59,77.17,76.58,76.98,2494883
4/26/2016,77.04,77.1,76.44,76.89,2910260
4/25/2016,77.07,77.07,76.35,76.5,4143581
4/22/2016,76.24,76.52,76.01,76.48,3862803
4/21/2016,76.45,76.9,76.01,76.28,1615366
4/20/2016,76.73,76.81,76.05,76.59,1762181
4/19/2016,76.92,77.38,76.62,76.96,2050240
4/18/2016,75.83,76.73,75.79,76.3,1677249
4/15/2016,75.38,75.74,75.14,75.65,2068949
4/14/2016,75.78,76.22,75.55,76.09,1574894
4/13/2016,75.04,75.61,74.8,75.45,1250733
4/12/2016,74.67,75.31,74.11,75.19,1643053
4/11/2016,75.54,75.64,75.06,75.11,2097461
4/8/2016,75.15,75.64,74.96,75.22,1470762
4/7/2016,75.17,75.35,74.65,74.92,2034726
4/6/2016,73.17,75.22,73.16,75.11,3498760
4/5/2016,72.26,72.73,71.97,72.6,2891439
4/4/2016,72.55,73.01,72.45,72.73,2271494
4/1/2016,69.91,71.55,69.9,71.4,3209612
3/31/2016,72.58,72.89,72.4,72.44,1937535
3/30/2016,72.47,72.95,72.35,72.55,2659663
3/29/2016,71.6,72.42,71.11,72.36,3778630
3/28/2016,73.5,73.61,72.76,73.13,1329218
3/24/2016,73.29,73.47,72.89,73.3,1358691
3/23/2016,74.86,74.87,73.75,73.91,2692560
3/22/2016,73.52,74.68,73.48,74.39,1717976
3/21/2016,73.05,73.85,73.04,73.68,1886592
3/18/2016,72.04,72.7,72.02,72.68,3349478
3/17/2016,72.93,73.55,72.76,73.28,1950835
3/16/2016,72.54,73.45,72.42,73.29,1857763
3/15/2016,73.37,73.46,72.73,72.9,3461813
3/14/2016,74.13,74.2,73.71,73.74,1471271
3/11/2016,73.61,74.47,73.53,74.44,1667537
3/10/2016,73.61,74.21,72.77,73.37,3492359
3/9/2016,72.33,72.6,72.12,72.42,1249497
3/8/2016,72.51,72.74,72.17,72.21,1638069
3/7/2016,71.72,72.77,71.58,72.48,2069508
3/4/2016,72.15,72.52,71.79,72.2,2127943
3/3/2016,72.8,73.02,72.52,72.95,2620124
3/2/2016,72.56,73.51,72.51,73.43,2533004
3/1/2016,72.12,72.9,71.74,72.84,2610243
2/29/2016,71.46,72.06,71.06,71.11,2126524
2/26/2016,72.6,72.61,72.02,72.03,3074436
2/25/2016,71.9,72.65,71.85,72.58,2199537
2/24/2016,70.75,71.89,70.64,71.71,2711965
2/23/2016,74.19,74.44,73.62,73.65,2308806
2/22/2016,73.96,74.46,73.9,74.23,2406801
2/19/2016,73.77,74.01,73.35,73.71,1992456
2/18/2016,74.4,74.45,73.54,73.71,3283233
2/17/2016,73.26,73.75,72.98,73.65,3124283
2/16/2016,72.66,73.62,72.48,73.29,3617197
2/12/2016,72.35,72.76,71.83,72.7,2119668
2/11/2016,72.31,72.58,71.55,72.2,2347096
2/10/2016,73.44,74.12,72.93,72.99,2716425
2/9/2016,72.26,73.21,71.9,72.62,2687819
2/8/2016,72.94,73.47,72.44,73.18,2825458
2/5/2016,74.96,75.08,73.97,74.33,2290679
2/4/2016,74.74,75.64,74.5,75.06,2211556
2/3/2016,76.26,76.51,75.13,76.51,2214601
2/2/2016,76.24,76.33,75.59,75.83,2921959
2/1/2016,77.32,77.59,76.64,77.27,1856522
1/29/2016,76.08,77.98,76.05,77.97,3621506
1/28/2016,77.17,77.27,75.64,76.54,3293252
1/27/2016,79.69,79.83,77.6,78.19,4512545
1/26/2016,82.17,82.76,81.62,82.64,2554337
1/25/2016,81.56,82.34,81.23,81.62,2314714
1/22/2016,81.54,82.42,81.41,82.24,2239422
1/21/2016,80,80.2,79.27,79.86,2642780
1/20/2016,80.07,81.07,78.71,80.49,2157289
1/19/2016,81.63,81.73,80.3,80.99,2628246
1/15/2016,80.11,81.12,79.59,80.23,2199600
1/14/2016,81.85,83.05,81.23,82.7,2859488
1/13/2016,82.66,82.84,81.07,81.09,2233442
1/12/2016,82.38,82.64,81.31,82.24,1585750
1/11/2016,82.03,82.07,80.63,81.64,3543456
1/8/2016,83.38,83.5,81.38,81.56,2104641
1/7/2016,83.92,84.45,83.61,83.94,2318831
1/6/2016,84.54,85.26,84.54,85.03,2737119
1/5/2016,85.25,86.26,85.21,86.21,2674160
1/4/2016,85.59,85.79,84.47,85.75,2285697
12/31/2015,86.43,86.84,86.02,86.04,1041863
12/30/2015,88.46,88.49,87.53,87.53,1585976
12/29/2015,87.87,88.16,87.7,88.05,1831568
12/28/2015,87.26,87.26,86.54,86.75,1721027
12/24/2015,86.29,86.86,86.29,86.47,877406
12/23/2015,85.27,86.71,85.25,86.64,2221647
12/22/2015,85.19,85.22,84.37,84.85,1390193
12/21/2015,85.31,85.49,84.21,84.68,1393091
12/18/2015,85.32,85.81,84.73,84.77,2205935
12/17/2015,86.02,86.68,85.24,85.3,1898087
12/16/2015,86.4,86.65,85.43,86.51,1940427
12/15/2015,84.77,85.67,84.76,85.28,1645537
12/14/2015,84.68,84.98,83.76,84.56,1988501
12/11/2015,85.06,85.58,84.36,84.52,2609872
12/10/2015,85.2,85.85,84.72,85.1,2606485
12/9/2015,84.82,85,83.66,83.96,2523662
12/8/2015,85.08,85.45,84.5,84.97,2895678
12/7/2015,86.2,86.31,85.44,85.58,1940538
12/4/2015,85.18,86.33,85.06,86.22,2460746
12/3/2015,86,86.1,84.28,84.56,3213147
12/2/2015,85.45,85.69,84.75,85.02,1848949
12/1/2015,86.12,86.15,85.28,85.95,1515458
11/30/2015,85.75,86.01,85.19,85.24,1701444
11/27/2015,86.45,86.73,85.71,85.84,1327065
11/25/2015,86.72,86.73,85.95,85.95,1861728
11/24/2015,85.9,86.76,85.83,86.4,1620292
11/23/2015,87.31,87.59,86.57,86.65,1553881
11/20/2015,88.95,89.15,88.32,88.35,1165272
11/19/2015,89.01,89.13,88.44,88.57,1268927
11/18/2015,88.2,88.61,87.58,88.47,3440960
11/17/2015,87.45,88.39,87.35,87.42,2200523
11/16/2015,86.61,87.13,86.53,87.05,1370147
11/13/2015,85.84,86.71,85.78,86.28,1599285
11/12/2015,87.01,87.89,86.86,86.86,2082915
11/11/2015,88.85,88.97,87.86,87.97,1758570
11/10/2015,87.74,88.51,87.64,88.35,1592974
11/9/2015,88.65,89.02,88.24,88.53,1152607
11/6/2015,90.05,90.06,89.23,89.63,1366554
11/5/2015,90.97,90.97,89.94,90.28,1234196
11/4/2015,90.72,90.8,89.53,89.89,2524448
11/3/2015,90.18,90.44,89.85,90.21,1637316
11/2/2015,90.68,91.15,90.59,91.04,965534
10/30/2015,90.99,91.5,90.43,90.43,1160758
10/29/2015,90.33,91.2,90.29,90.96,1323337
10/28/2015,91.81,91.88,89.96,91.05,2398611
10/27/2015,90.09,91.07,89.92,90.14,2666570
10/26/2015,92.37,93,92.02,92.3,1764118
10/23/2015,92.42,93.58,92.33,92.98,2539220
10/22/2015,91.09,92.68,90.77,92.43,1929220
10/21/2015,92.21,92.34,90.71,91.59,1603420
10/20/2015,93.72,93.72,92.08,92.33,1167313
10/19/2015,94.55,94.63,93.68,94.12,1167141
10/16/2015,94.5,95.11,94.43,95.03,1222034
10/15/2015,92.38,93.87,92.38,93.86,1572920
10/14/2015,91.69,92.43,91.54,92.1,2063664
10/13/2015,92.03,92.24,90.95,91.02,1255540
10/12/2015,91.63,92.57,91.63,92.35,1091819
10/9/2015,92.31,92.56,91.44,91.9,1663201
10/8/2015,91.67,92.71,91.34,92.61,2185082
10/7/2015,91.8,92.65,91.19,91.6,3113798
10/6/2015,94.24,94.48,92.71,93.37,2205278
10/5/2015,93.76,94.5,93.76,94.2,1487875
10/2/2015,91.21,93.27,90.92,93.27,1498306
10/1/2015,92.32,92.42,90.84,91.9,1506114
9/30/2015,91.96,92.06,91.21,91.92,1739474
9/29/2015,89.14,90.34,88.89,89.52,1990190
9/28/2015,92.62,92.62,89.38,89.83,2310338
9/25/2015,93.9,94.02,90.85,91.31,2759208
9/24/2015,92.3,92.44,91.17,91.8,1909271
9/23/2015,92.84,93.08,92.23,92.41,2701870
9/22/2015,93.39,93.65,92.12,92.83,2712426
9/21/2015,97.45,97.63,95.46,95.86,1635859
9/18/2015,97.1,97.87,96.47,96.65,1408366
9/17/2015,97.04,98.95,97.04,97.96,1092358
9/16/2015,97.05,97.92,96.79,97.73,1696945
