Date,Open,High,Low,Close,Volume
2/27/2017,34.23,34.46,34.16,34.28,21830284
2/24/2017,34.17,34.35,33.99,34.26,24711954
2/23/2017,33.7,34.12,33.58,34.06,30477129
2/22/2017,33.57,33.75,33.25,33.59,27207299
2/21/2017,33.57,33.8,33.48,33.62,24090742
2/17/2017,33.59,33.89,33.53,33.62,34992707
2/16/2017,33.45,33.88,33.22,33.62,38332300
2/15/2017,32.78,33.58,32.68,33.51,45574488
2/14/2017,32.53,32.77,32.35,32.75,22965351
2/13/2017,32.44,32.69,32.44,32.61,20620122
2/10/2017,32.41,32.45,32.23,32.35,21907167
2/9/2017,32.26,32.54,32.23,32.38,23816348
2/8/2017,31.92,32.34,31.92,32.14,19160070
2/7/2017,32.32,32.35,31.94,32.08,23512005
2/6/2017,32,32.33,31.94,32.23,24534376
2/3/2017,32.12,32.24,31.92,32.09,35991724
2/2/2017,31.47,31.73,31.32,31.73,23372299
2/1/2017,31.51,31.69,31.26,31.67,28493260
1/31/2017,31.01,31.93,30.93,31.73,37450039
1/30/2017,31.47,31.5,31.06,31.31,27464839
1/27/2017,31.47,31.54,31.26,31.42,24054743
1/26/2017,31.4,31.47,31.2,31.28,27185453
1/25/2017,31.36,31.52,31.1,31.29,32168240
1/24/2017,31.4,31.46,30.9,31.15,29625416
1/23/2017,31.68,31.82,31.44,31.46,24760966
1/20/2017,31.72,32.12,31.66,31.77,30159695
1/19/2017,32.06,32.09,31.53,31.7,26144122
1/18/2017,32.09,32.28,31.95,32.03,21469733
1/17/2017,32.35,32.38,31.78,32.06,32104523
1/13/2017,32.67,32.78,32.33,32.52,20291186
1/12/2017,32.53,32.62,32.3,32.6,31760852
1/11/2017,33.37,33.54,32.4,32.83,40439412
1/10/2017,33.59,33.66,33.32,33.44,19397333
1/9/2017,33.43,33.67,33.38,33.47,20455302
1/6/2017,33.66,33.7,33.34,33.48,17474593
1/5/2017,33.37,33.69,33.12,33.61,20003366
1/4/2017,33.13,33.35,33.03,33.29,21588216
1/3/2017,32.7,33,32.59,33,22193434
12/30/2016,32.34,32.6,32.31,32.48,18866618
12/29/2016,32.39,32.62,32.37,32.49,14067567
12/28/2016,32.5,32.69,32.34,32.35,13938755
12/27/2016,32.57,32.72,32.48,32.53,11220427
12/23/2016,32.41,32.56,32.36,32.48,10804464
12/22/2016,32.29,32.43,32.05,32.34,18613336
12/21/2016,32.73,32.93,32.33,32.4,18739717
12/20/2016,32.78,32.88,32.57,32.85,25074289
12/19/2016,32.76,32.97,32.72,32.83,24930729
12/16/2016,32.88,32.94,32.52,32.84,37585369
12/15/2016,32.63,32.96,32.6,32.75,20877122
12/14/2016,32.92,33.3,32.64,32.82,36347068
