Date,Open,High,Low,Close,Volume
2/27/2017,245.5,245.7,242.7,243.6,1023753
2/24/2017,245.5,245.5,242.6,245.2,808018
2/23/2017,244.5,246.6,244.3,245.1,1289336
2/22/2017,245.9,246.6,244.2,246.3,1262775
2/21/2017,243.2,247.7,242.9,246.5,1609390
2/20/2017,244,244.8,243.1,244,1030587
2/17/2017,242.2,243.5,241.5,243.5,2863416
2/16/2017,241.3,243.9,241,242.8,1501040
2/15/2017,239,241.5,237.8,241.5,1326844
2/14/2017,239.9,239.9,236.5,237.4,1230952
2/13/2017,240.8,241.1,239.9,240,1047820
2/10/2017,240,240.4,238.1,240,1245760
2/9/2017,238.3,240.2,237.9,239.9,1679987
2/8/2017,238.3,239.7,236.6,237.4,1477300
2/7/2017,236.3,239.6,236.1,238.5,1557225
2/6/2017,236.5,237.4,235.2,236.1,1196027
2/3/2017,234.4,236.3,233.7,235.8,1171708
2/2/2017,236.1,236.4,232.9,233.5,1973798
2/1/2017,233,238.9,232.5,237.5,2150012
1/31/2017,233.8,234.1,230.8,233,1972446
1/30/2017,236.3,237.3,233.3,234,1358223
1/27/2017,237.9,238.4,234.8,236.3,1246588
1/26/2017,235,238.5,234,235.7,1873251
1/25/2017,231.5,234.8,230,234.8,1792759
1/24/2017,231.6,232.8,231,231.4,1462225
1/23/2017,232.4,232.7,230.6,232.2,1503997
1/20/2017,233.9,234.4,232,233.5,2635081
1/19/2017,236.2,236.2,232.1,233,1398171
1/18/2017,236.8,236.8,233.8,235.6,1091762
1/17/2017,234.8,236.7,234.4,234.7,1349137
1/16/2017,239,239.3,235.6,235.6,1087423
1/13/2017,237.5,239,237.2,239,1259517
1/12/2017,238,238.5,235.1,235.9,1953813
1/11/2017,244,244,240.8,240.8,1478989
1/10/2017,243.1,243.8,241.2,243.4,1421774
1/9/2017,242.5,242.6,240.4,241.9,931902
1/6/2017,242,242.5,240.5,241.3,903294
1/5/2017,238.8,241.4,238,241.2,1322854
1/4/2017,238.4,238.8,236.2,238.1,1363675
1/3/2017,235.3,236.3,234.4,236,1477792
12/30/2016,232.7,233.8,231.6,232.6,1082625
12/29/2016,231.9,234.7,231.7,234,610073
12/28/2016,234,234.3,232.3,233,700025
12/27/2016,233,234.6,232.7,233.5,540305
12/23/2016,231.7,233,230.9,232.2,776317
12/22/2016,232.5,234.2,231.2,231.9,1333961
12/21/2016,232,234.8,231.5,233.2,1203231
12/20/2016,232.2,235.5,232.2,233.5,1364134
12/19/2016,233.3,234.6,232.1,233.7,1205982
12/16/2016,233,235.2,233,233.5,3173038
12/15/2016,230.7,232.8,230.4,232.8,1880278
12/14/2016,229.4,232,228.7,231.3,1514144
12/13/2016,224.1,231.6,223.7,230.4,2065677
12/12/2016,227.9,228.1,225.1,225.5,1547516
12/9/2016,220.5,228.7,220.5,227.8,2089110
12/8/2016,221,221.4,219.1,220.4,1871637
12/7/2016,225,225,219.4,221.2,1921228
12/6/2016,222.5,224.3,220.9,223.5,1279031
12/5/2016,222.4,224.5,221.8,222.1,1694703
12/2/2016,220.7,221.1,218.3,220.6,1946573
12/1/2016,225.4,225.8,221.6,222.2,1702989
11/30/2016,225.1,227.1,224.8,226.7,1984446
11/29/2016,226.9,227.3,225.4,226.4,1194878
11/28/2016,227.1,227.9,225.6,226,1007451
11/25/2016,224.5,228.2,224.5,227.1,1278567
11/24/2016,223.5,224.5,222.5,223.8,1208351
11/23/2016,224.2,224.6,219.7,222.8,2117801
11/22/2016,231.5,232,223.7,223.7,2128639
11/21/2016,231.8,232.7,229.5,230.9,1284970
11/18/2016,234.2,234.2,231.9,232,1399853
11/17/2016,231.7,234.5,230.4,234.2,1262452
11/16/2016,232.6,233.1,231,232.3,1319956
11/15/2016,234.4,234.5,230.4,232.6,1389776
11/14/2016,236.7,238.1,231.7,233.5,1791246
11/11/2016,237.9,238.1,232.4,234.5,1545345
11/10/2016,238.5,240,233,237.2,2978087
11/9/2016,228.7,239.9,228.6,236.2,5048109
11/8/2016,224.9,226.1,224.2,224.9,1147197
11/7/2016,222.2,225.3,221.7,224.6,1751855
11/4/2016,221,221.8,219.1,220.1,1507658
11/3/2016,223.5,224.2,221.7,222.7,1487982
11/2/2016,223.2,226.4,223.1,224.3,1482763
11/1/2016,228.5,228.5,224.2,224.6,1483990
10/31/2016,228.5,228.7,227.1,227.5,1515271
10/28/2016,229.4,231.1,227.9,229.8,1214411
10/27/2016,226,231.1,225.5,230.3,1907617
10/26/2016,228,228.2,225.7,226.5,1378473
10/25/2016,230.3,230.9,228,228.2,1594585
10/24/2016,233.1,234,230,230.7,1559305
10/21/2016,232.1,233.3,231.6,232.3,1364962
10/20/2016,232.2,234.2,231.6,232.5,1521557
10/19/2016,234.8,235.1,233.3,233.8,1138901
10/18/2016,233,234.2,232.1,233.6,1421175
10/17/2016,235.8,235.8,232.6,232.7,1267726
10/14/2016,234.4,236.4,234.2,235.8,1090050
10/13/2016,235,235.1,231.8,234,1424948
10/12/2016,239.5,239.5,235.5,235.5,1107467
10/11/2016,240,241.9,238.7,238.9,1116494
10/10/2016,-,241.5,-,241,1183010
10/7/2016,238.6,240.1,237.6,238.3,1078537
10/6/2016,241.5,241.5,238.1,239.3,964365
10/5/2016,241,241.4,239.3,240.7,868744
10/4/2016,240,242.6,240,241.9,1227453
10/3/2016,242.4,243.4,241.1,241.7,732832
9/30/2016,240.3,241,237.3,241,1675706
9/29/2016,245.4,246.1,241,241.8,1185036
9/28/2016,244.4,246,243.7,244.6,939040
9/27/2016,243.8,244.1,241.1,243.5,1109484
9/26/2016,243.4,244.1,242,242.1,1094313
9/23/2016,244.4,245.5,243.9,245.5,1031705
9/22/2016,245.1,246,243.5,245.1,1210313
9/21/2016,246.9,246.9,243.6,243.6,1281456
9/20/2016,241.2,246.9,240.9,244.6,1179170
9/19/2016,240.6,243.1,240.6,242.5,971850
9/16/2016,240.5,242,239,240.1,3049956
9/15/2016,237.8,239.9,237.3,239.5,958639
9/14/2016,239,239.8,237.8,238.8,895135
9/13/2016,240.6,240.9,238.7,238.8,940064
9/12/2016,237.4,239.3,236.4,239,864007
9/9/2016,241.6,241.9,239.6,240,914160
9/8/2016,243.1,243.9,241.2,242.7,914214
9/7/2016,243,243.5,241.3,242.9,1112553
9/6/2016,243.2,244.1,242.8,243.6,758682
9/5/2016,243,244.3,242.6,243.1,779316
9/2/2016,238.1,242.9,238.1,242.9,1353117
9/1/2016,240,241.1,236.4,237.5,1342663
8/31/2016,243.5,243.9,239.1,239.8,1397017
8/30/2016,242,243.7,241.9,242.9,988125
8/29/2016,240.5,242.6,240.3,242,664017
8/26/2016,240,241,238.4,240.9,812771
8/25/2016,241.7,241.7,238.4,240.3,1214297
8/24/2016,243.3,245.1,242.8,243.5,954101
8/23/2016,244.4,245.5,243.9,244.7,666801
8/22/2016,243.3,245.6,241.9,244.3,1003965
8/19/2016,244.4,244.6,241.6,242.5,920849
8/18/2016,245.1,245.1,242.2,243.4,748115
8/17/2016,245.3,245.6,243.1,244,887582
8/16/2016,247.5,248.4,245.2,245.4,1070835
8/15/2016,248.2,249.5,247.6,248.8,566946
8/12/2016,249.1,249.4,247.6,248.5,683562
8/11/2016,248.7,249.1,247.4,248.9,723405
8/10/2016,248.6,250.7,247.5,247.5,948126
8/9/2016,247.9,249.3,246.7,248.8,621376
8/8/2016,251.9,251.9,246.7,247.2,1084951
8/5/2016,246.2,253.1,244.5,250.3,1777741
8/4/2016,244,245.8,242.7,245.7,1040852
8/3/2016,246.3,246.5,242.4,244,1193444
8/2/2016,247.5,247.9,245.4,245.4,1200854
7/29/2016,245.1,248.5,244.6,247.5,1483608
7/28/2016,248.8,250.9,245.5,245.5,1403053
7/27/2016,251.5,251.5,248.7,249.3,858711
7/26/2016,249.2,251.1,248.4,250.3,991761
7/25/2016,248.8,249.8,247.5,248.8,969402
7/22/2016,249.4,250.8,248.2,249.8,926960
7/21/2016,254,254,249.3,250,1168461
7/20/2016,251.8,253.9,251.4,253,816079
7/19/2016,252.8,252.9,249.1,250.5,1026380
7/18/2016,252.1,254.2,250.1,253.2,1513562
7/15/2016,256.1,256.1,253.7,255.6,1149750
7/14/2016,255.6,256.3,253.3,254.1,969522
