Date,Open,High,Low,Close,Volume
2/27/2017,42.54,42.96,42.53,42.92,2874165
2/24/2017,42.27,42.84,42.26,42.7,1786466
2/23/2017,42.71,42.76,42.4,42.51,1491003
2/22/2017,42.13,42.61,42.11,42.52,2316519
2/21/2017,42.21,42.78,42.08,42.76,2857519
2/17/2017,43.12,43.33,43.06,43.16,1811565
2/16/2017,43.6,43.72,43.4,43.54,962489
2/15/2017,42.75,43.45,42.75,43.35,1637088
2/14/2017,42.84,42.93,42.53,42.76,1206485
2/13/2017,42.7,42.72,42.44,42.54,985025
2/10/2017,42.6,42.81,42.55,42.57,1159991
2/9/2017,42.28,42.97,42.25,42.7,2412677
2/8/2017,40.61,41.26,40.56,41.21,2386345
2/7/2017,40.61,40.74,40.18,40.25,1120241
2/6/2017,40.37,40.68,40.37,40.64,789519
2/3/2017,40.68,40.82,40.6,40.63,746745
2/2/2017,40.55,40.71,40.42,40.51,1057359
2/1/2017,40.62,40.88,40.5,40.88,1563121
1/31/2017,39.94,40.81,39.89,40.78,2496444
1/30/2017,39.87,40.14,39.71,40,1785302
1/27/2017,39.88,40.01,39.71,39.88,1365069
1/26/2017,40,40.01,39.48,39.51,1720213
1/25/2017,40.1,40.1,39.69,39.89,2435643
1/24/2017,39.75,39.88,39.42,39.72,1541439
1/23/2017,40.33,40.35,39.91,40.21,2106309
1/20/2017,40.42,40.58,40.23,40.35,988291
1/19/2017,40.28,40.37,40,40.17,958621
1/18/2017,40.85,40.9,40.61,40.76,1357116
1/17/2017,40.68,41.07,40.54,40.96,2536087
1/13/2017,41.69,41.71,41.29,41.47,2553962
1/12/2017,40.54,41.77,40.47,40.62,3864327
1/11/2017,41.06,41.16,40.38,40.79,2265954
1/10/2017,41.56,41.58,41,41.05,2009526
1/9/2017,40.9,41.08,40.7,40.96,2357977
1/6/2017,40.13,40.54,40.12,40.32,2609682
1/5/2017,41.28,41.67,41.11,41.5,2828734
1/4/2017,40.79,41.02,40.67,40.85,2819625
1/3/2017,40.56,41.12,40.54,41.02,2701438
12/30/2016,40.25,40.57,40.03,40.44,1866126
12/29/2016,39.82,39.9,39.69,39.71,1945539
12/28/2016,39.55,39.56,39.26,39.26,2055870
12/27/2016,39.9,39.98,39.65,39.69,1149641
12/23/2016,39.34,39.6,39.31,39.47,867985
12/22/2016,39.83,39.97,39.48,39.54,1671077
12/21/2016,39.25,39.82,39.03,39.43,3939118
12/20/2016,39.4,39.43,38.7,38.86,3019148
12/19/2016,39.01,39.28,38.67,38.74,1698864
12/16/2016,38.56,38.9,38.45,38.54,3028161
12/15/2016,39.59,39.61,39.31,39.47,1487404
12/14/2016,40.16,40.34,39.62,39.62,1867902
12/13/2016,40.95,41.32,40.88,40.92,1717442
12/12/2016,40.2,40.65,40.17,40.59,1149112
12/9/2016,40.21,40.54,40.17,40.4,1438696
12/8/2016,39.78,39.92,39.54,39.77,3106243
12/7/2016,40.67,40.68,40,40.52,2836448
12/6/2016,40.25,40.76,40.11,40.66,1465423
12/5/2016,40.58,40.92,40.52,40.91,1805792
12/2/2016,39.66,40.33,39.57,40.02,1472714
12/1/2016,39.95,39.99,39.63,39.72,1301697
11/30/2016,40.73,40.75,40.19,40.2,1323056
11/29/2016,40.24,40.65,40.11,40.44,2224806
11/28/2016,39.83,39.92,39.69,39.73,1184393
11/25/2016,39.96,39.96,39.78,39.84,710745
11/23/2016,38.84,39.45,38.8,39.44,2420588
11/22/2016,40.15,40.18,39.56,39.86,2904594
11/21/2016,40.17,40.23,40.05,40.16,1171528
11/18/2016,40.54,40.61,39.98,40.03,2216938
11/17/2016,41.32,41.37,40.91,40.99,1878707
11/16/2016,41.16,41.49,41.14,41.17,1532711
11/15/2016,41.32,41.61,41.11,41.49,1731683
11/14/2016,41.33,41.49,41.08,41.44,4212295
11/11/2016,41.45,41.56,41.02,41.04,1375108
11/10/2016,41.99,42.42,41.77,41.83,2494342
11/9/2016,41.73,42.4,41.33,42.01,4739634
11/8/2016,40.27,40.33,40.11,40.16,1973671
11/7/2016,39.83,39.92,39.52,39.63,1791775
11/4/2016,39.35,40,39.35,39.94,3324750
11/3/2016,40.17,40.29,39.51,39.51,4011646
11/2/2016,39.93,40.02,39.5,39.75,2325445
11/1/2016,39.15,39.56,38.96,39.03,2748765
10/31/2016,39.01,39.03,38.71,38.89,1943800
10/28/2016,39.37,39.37,38.4,38.84,4655027
10/27/2016,37.81,38.01,37.25,37.25,2175449
10/26/2016,36.85,37.24,36.81,37.06,1835837
10/25/2016,37.47,37.53,37.16,37.39,3604176
10/24/2016,37.83,37.88,37.6,37.76,1216344
10/21/2016,37.66,37.86,37.6,37.75,2046302
10/20/2016,37.85,38.28,37.8,38.07,2272655
10/19/2016,37.66,37.79,37.48,37.52,1526806
10/18/2016,37.82,37.97,37.72,37.73,3901951
